fn	namespace	call_count	files	hook_side	args_returns	system	status	system_exists	blocker	milestone
Mob.AddBuff	Mob	411	239	AUTH	arity 2 (var|num)	buff	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M4
Player.CheckBuff	Player	47	25	AUTH	arity 1 (var)	buff	STUB	NO	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Player.AddBuff	Player	32	17	AUTH	arity 2 (var|var)	buff	STUB	NO	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Mob.CheckMobbuff	Mob	3	3	AUTH	arity 2 (var|var)	buff	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M4
Player.RemoveBuff	Player	2	2	AUTH	arity 1 (var)	buff	STUB	NO	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Quest.AddCriteriaCash	Quest	165	165	AUTH	arity 0	cash	STUB	PARTIAL	needs per-character cash grant seam (Player.* queue, not built)	M5
Quest.AddLvCriteriaCash	Quest	58	58	AUTH	arity 0	cash	STUB	PARTIAL	needs per-character cash grant seam (Player.* queue, not built)	M5
Player.GetCash	Player	7	7	AUTH	arity 0	cash	STUB	PARTIAL	needs per-character state PlayerContext does not carry yet (only level/class_id today)	M5
Player.AddCash	Player	6	6	AUTH	arity 1 (var)	cash	STUB	PARTIAL	needs a per-character stat WRITE/grant seam (Player.* queue, not built)	M5
Player.CastSkillAt	Player	69	46	AUTH	arity 1 (var)	combat-skill	STUB	PARTIAL	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Trigger.CastSkillXYZ	Trigger	11	6	AUTH	arity 4 (var|var|var|var)	combat-skill	STUB	PARTIAL	needs skill-cast wire frame (LANE-CS territory)	M4
Trigger.CastSkill	Trigger	9	9	AUTH	arity 1 (var)	combat-skill	STUB	PARTIAL	needs skill-cast wire frame (LANE-CS territory)	M4
Player.CheckSkill	Player	6	1	AUTH	arity 1 (var)	combat-skill	STUB	PARTIAL	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Trigger.CastSkillBy	Trigger	5	5	AUTH	arity 1 (var)	combat-skill	STUB	PARTIAL	needs skill-cast wire frame (LANE-CS territory)	M4
Party.CastSkillAt	Party	3	3	AUTH	arity 1 (var)	combat-skill	STUB	PARTIAL	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M4
Player.CastSkillXYZ	Player	2	2	AUTH	arity 4 (var|var|var|var)	combat-skill	STUB	PARTIAL	needs skill/buff state + cast wire frame, cross-lane w/ LANE-B/CS combat	M4
Quest.AddCriteriaExp	Quest	166	166	AUTH	arity 0	exp-level	STUB	PARTIAL	needs per-character EXP grant seam (Player.* queue, not built)	M5
Quest.AddCriteriaSkillPoint	Quest	166	166	AUTH	arity 0	exp-level	STUB	PARTIAL	needs per-character skill-point grant seam (Player.* queue, not built)	M5
Player.GetLv	Player	91	89	AUTH	arity 0	exp-level	REAL	YES		M5
Player.GetClass	Player	60	14	AUTH	arity 0	exp-level	REAL	YES		M5
Quest.AddLvCriteriaExp	Quest	59	59	AUTH	arity 0	exp-level	STUB	PARTIAL	needs per-character EXP grant seam (Player.* queue, not built)	M5
Quest.AddLvCriteriaSkillPoint	Quest	59	59	AUTH	arity 0	exp-level	STUB	PARTIAL	needs per-character skill-point grant seam (Player.* queue, not built)	M5
Player.AddExp	Player	2	2	AUTH	arity 1 (call)	exp-level	STUB	PARTIAL	needs a per-character stat WRITE/grant seam (Player.* queue, not built)	M5
Player.AddPpClass	Player	2	2	AUTH	arity 1 (var)	exp-level	STUB	PARTIAL	needs a per-character stat WRITE/grant seam (Player.* queue, not built)	M5
Player.AddSkillPoint	Player	2	2	AUTH	arity 1 (call)	exp-level	STUB	PARTIAL	needs a per-character stat WRITE/grant seam (Player.* queue, not built)	M5
Player.GetPpClass	Player	1	1	AUTH	arity 0	exp-level	STUB	PARTIAL	needs per-character state PlayerContext does not carry yet (only level/class_id today)	M5
Player.GiveLvCriteriaPercentageEXP	Player	1	1	AUTH	arity 0	exp-level	STUB	PARTIAL	needs a per-character stat WRITE/grant seam (Player.* queue, not built)	M5
Quest.GetQuestFlag	Quest	508	366	AUTH	arity 1 (var)	flag-quest-state	STUB	NO	needs per-character Quest flag state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Quest.SetFlag	Quest	417	304	AUTH	arity 1 (var)	flag-quest-state	STUB	NO	needs per-character Quest flag state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Quest.CheckMobKillCount	Quest	138	70	AUTH	arity 2 (var|var)	flag-quest-state	STUB	NO	needs per-character quest kill-count state (LANE-DB column)	M5
Quest.MobKillCount	Quest	128	70	AUTH	arity 2 (var|var)	flag-quest-state	STUB	NO	needs per-character quest kill-count state (LANE-DB column)	M5
Quest.SetQuestFlag	Quest	90	51	AUTH	arity 2 (var|num)	flag-quest-state	STUB	NO	needs per-character Quest flag state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Quest.GetFlag	Quest	67	67	AUTH	arity 0	flag-quest-state	STUB	NO	needs per-character Quest flag state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Quest.CanReportDailyQuest	Quest	61	61	AUTH	arity 0	flag-quest-state	STUB	NO	needs per-character daily-quest state, date-stamped (LANE-DB column)	M5
Quest.ReportDailyQuest	Quest	61	61	AUTH	arity 0	flag-quest-state	STUB	NO	needs per-character daily-quest state, date-stamped (LANE-DB column)	M5
Quest.GetMobKillCount	Quest	20	1	AUTH	arity 1 (var)	flag-quest-state	STUB	NO	needs per-character quest kill-count state (LANE-DB column)	M5
Trigger.QuestActiveProgress	Trigger	8	8	AUTH	arity 1 (var)	flag-quest-state	STUB	NO	needs per-character Quest state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Trigger.QuestFinishProgress	Trigger	3	3	AUTH	arity 1 (var)	flag-quest-state	STUB	NO	needs per-character Quest state (LANE-DB column, COO-DECISION 20260905_2058)	M5
Quest.CheckWishQuest	Quest	1	1	AUTH	arity 0	flag-quest-state	STUB	NO	needs per-character quest state (LANE-DB column)	M5
Guild.GetGuildLevel	Guild	15	12	AUTH	arity 0	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Player.CheckGuild	Player	15	15	AUTH	arity 0	guild	STUB	NO	needs per-character state PlayerContext does not carry yet (only level/class_id today)	M final
Guild.CheckPlayerGuildJob	Guild	7	7	AUTH	arity 1 (var)	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Guild.AddMeritExp	Guild	6	6	AUTH	arity 1 (var)	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Guild.GetPVPFaction	Guild	4	4	AUTH	arity 0	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Guild.CheckMeritExp	Guild	2	2	AUTH	arity 1 (var)	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Player.GetGuildRank	Player	2	2	AUTH	arity 0	guild	STUB	NO	needs per-character state PlayerContext does not carry yet (only level/class_id today)	M final
Guild.GiveDailySalary	Guild	1	1	AUTH	arity 0	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Guild.SetPVPFaction	Guild	1	1	AUTH	arity 1 (var)	guild	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Quest.CheckGuildOfflineQuest	Quest	1	1	AUTH	arity 0	guild	STUB	NO	needs per-character guild-quest state, cross-lane w/ Guild namespace	M final
Quest.ReportGuildOfflineQuest	Quest	1	1	AUTH	arity 0	guild	STUB	NO	needs per-character guild-quest state, cross-lane w/ Guild namespace	M final
Quest.StartGuildOfflineQuest	Quest	1	1	AUTH	arity 0	guild	STUB	NO	needs per-character guild-quest state, cross-lane w/ Guild namespace	M final
Player.EnterInstance	Player	32	17	AUTH	arity 1 (var)	instance	STUB	PARTIAL	needs the world-entry frame that moves a session into an instance, cross-lane w/ LANE-A M2	M3
Instance.AddKeyEvent	Instance	15	13	AUTH	arity 1 (var)	instance	REAL	YES		M3/M4
Instance.GetInstanceID	Instance	14	7	AUTH	arity 0	instance	REAL	YES		M3/M4
Instance.CallScoreCount	Instance	12	12	AUTH	arity 0	instance	REAL	YES	real, but pure invocation counter -- NOT SCORECOUNT-wired yet (lua_api/instance.py module docstring)	M3/M4
Instance.GetLastingTime	Instance	7	7	AUTH	arity 0	instance	REAL	YES		M3/M4
Player.EnterInstanceThenPlayMovie	Player	6	5	AUTH	arity 2 (var|var)	instance	STUB	PARTIAL	needs outbound UI/cutscene/message wire frame, not owned by Q	M3
Player.LoadInstanceGroup	Player	6	5	AUTH	arity 1 (var)	instance	STUB	PARTIAL	needs the world-entry frame that moves a session into an instance, cross-lane w/ LANE-A M2	M3
Party.EnterInstance	Party	5	5	AUTH	arity 1 (var)	instance	STUB	PARTIAL	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M3
Player.LeaveInstance	Player	4	4	AUTH	arity 0	instance	STUB	PARTIAL	needs the world-entry frame that moves a session into an instance, cross-lane w/ LANE-A M2	M3
Instance.AddBonusPoint	Instance	2	2	AUTH	arity 0-1	instance	REAL	YES	real, but pure invocation counter -- NOT SCORECOUNT-wired yet (lua_api/instance.py module docstring)	M3/M4
Instance.RemoveKeyEvent	Instance	2	2	AUTH	arity 1 (var)	instance	REAL	YES		M3/M4
Instance.AddBonusReward	Instance	1	1	AUTH	arity 0	instance	REAL	YES	real, but pure invocation counter -- NOT SCORECOUNT-wired yet (lua_api/instance.py module docstring)	M3/M4
Instance.GetInstanceId	Instance	1	1	AUTH	arity 0	instance	REAL	YES		M3/M4
Instance.SetLastingTime	Instance	1	1	AUTH	arity 1 (var)	instance	REAL	YES		M3/M4
Player.AddItem	Player	1430	272	AUTH	arity 2 (var|var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Quest.RewardItemSelect	Quest	1335	221	AUTH	arity 2 (var|var)	inventory	STUB	PARTIAL	needs per-character reward-choice state + Player.AddItem grant seam	M5
Player.RemoveItem	Player	367	137	AUTH	arity 2 (var|var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.CheckItemNum	Player	211	105	AUTH	arity 2 (var|var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.GetItemNum	Player	99	72	AUTH	arity 1 (var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.AddAndEquip	Player	48	11	AUTH	arity 2 (num|num)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.CheckEquipItem	Player	14	2	AUTH	arity 1 (num)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.CheckCollect	Player	11	11	AUTH	arity 1 (var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.DropProcess	Player	9	8	AUTH	arity 1 (var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.ItemAddon	Player	6	4	AUTH	arity 3 (var|var|var)	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Party.CheckPartyItem	Party	2	2	AUTH	arity 2 (var|var)	inventory	STUB	PARTIAL	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Party.RemovePartyItem	Party	2	2	AUTH	arity 2 (expr|expr)	inventory	STUB	PARTIAL	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	M final
Player.AppraiseCollectPiece	Player	1	1	AUTH	arity 0	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.AppraiseItem	Player	1	1	AUTH	arity 0	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.CheckAllCollectItemSynthesisBuff	Player	1	1	AUTH	arity 0	inventory	STUB	PARTIAL	needs per-character inventory/equipment state (LANE-DB column, Player.* queue not built)	M5
Player.ShowMessage	Player	61	45	AUTH	arity 1 (num)	message-wire	STUB	NO	needs outbound UI/cutscene/message wire frame, not owned by Q	unlisted
Trigger.TriggerShowMessage	Trigger	55	8	AUTH	arity 2 (num|var)	message-wire	STUB	NO	needs client message/UI wire frame, not owned by Q	unlisted
Player.OpenUI	Player	31	31	AUTH	arity 0-2	message-wire	STUB	NO	needs outbound UI/cutscene/message wire frame, not owned by Q	unlisted
Player.OpenHelpUI	Player	26	23	AUTH	arity 1 (var)	message-wire	STUB	NO	needs outbound UI/cutscene/message wire frame, not owned by Q	unlisted
Player.PlayMovie	Player	7	7	AUTH	arity 1 (var)	message-wire	STUB	NO	needs outbound UI/cutscene/message wire frame, not owned by Q	unlisted
Party.PlayMovie	Party	2	2	AUTH	arity 1 (var)	message-wire	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	unlisted
Party.ShowMessage	Party	1	1	AUTH	arity 1 (var)	message-wire	STUB	NO	namespace has no dedicated lua_api module yet (falls to generic ApiNamespaceStub, script_host.py:270)	unlisted
Mob.ShowAnimation	Mob	716	295	BOTH	arity 1 (var)	movie-ui (client-only)	STUB	NO	measured BOTH hook_side -- NOT UI-only, see nonclaims	unlisted
