id	name	family	is_client_req	tier	evidence
0x0AEA	Winemaking_UpdateLearnedFormulaVital	Winemaking_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x0D27	BuildingCrystal_PurchaseServiceVital	BuildingCrystal_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x0E0C	Express_ClientReceiveNewExpressVital	Express_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x0ED3	BuildingCrystal_OpenCrystalSlotVital	BuildingCrystal_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x0F01	UserSetting_UpdateServerSettingVital	UserSetting_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x1091	Express_ClientSendExpressResultVital	Express_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x116C	VitalData	(unprefixed)	0	SOURCE	src/pirateforce_foundation/damage_hp_link_hypothesis.py:115
0x11E4	KnowledgeGuru_CurrentQuizResultVital	KnowledgeGuru_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x15E0	CBuffVital	(unprefixed)	0	NAME-ONLY	pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x162E	CheatVital	(unprefixed)	0	SOURCE	src/pirateforce_foundation/gm/gmui_catalog.py:544
0x1666	Community_SetReceiveActiveChangeVital	Community_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x18DA	Channel_OnActorJoinCustomChannelVital	Channel_	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x1922	Community_QuerySoulMateCandidateVital	Community_	0	UNTOUCHED	-
0x1A3F	CArenaVital	(unprefixed)	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x1AC5	AccuseVital	(unprefixed)	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv
0x1AD4	ReliveVital	(unprefixed)	0	NAME-ONLY	docs/PF_VITAL_NAMES.json+pf_bridge/external/PF_PROTOCOL_REGISTRY.tsv+pf_bridge/external/PF_SERIALIZER_FIELDS.tsv+docs/UI_LANE.md
0x1ADD	TargetVital	(unprefixed)	0	SOURCE	src/pirateforce_foundation/diag_multi_object_wiring.py:147
0x1AEA	ActionVital	(unprefixed)	0	SOURCE	src/pirateforce_foundation/mob_combat.py:225
