n_ID	n_PPCLASS	n_SKILL
1	1024	110
2	1024	2978
3	1024	99
4	1024	111
11	1024	2950
31	1024	2955
51	1024	2957
61	1024	2960
71	1024	2965
81	1024	2968
91	1024	2971
201	1	40002
202	1	40001
203	1	40014
204	1	40004
205	1	40023
206	1	40016
207	1	40012
208	1	40021
209	1	40010
210	1	40006
211	1	40013
212	1	40003
213	1	40008
214	1	40018
215	1	40017
216	1	40011
217	1	40019
218	1	40009
219	1	40020
220	1	40022
221	1	40015
222	1	40007
223	1	40024
224	1	40005
225	1	40025
301	2	43003
302	2	43008
303	2	43021
304	2	43007
305	2	43011
306	2	43014
307	2	43006
308	2	43002
309	2	43019
310	2	43018
311	2	43023
312	2	43013
313	2	43012
314	2	43004
315	2	43015
316	2	43005
317	2	43010
318	2	43016
319	2	43022
320	2	43024
321	2	43009
322	2	43001
323	2	43020
324	2	43017
325	2	43025
401	4	41011
402	4	41014
403	4	41020
404	4	41001
405	4	41012
406	4	41003
407	4	41008
408	4	41013
409	4	41022
410	4	41007
411	4	41019
412	4	41017
413	4	41024
414	4	41004
415	4	41002
416	4	41005
417	4	41023
418	4	41006
419	4	41010
420	4	41015
421	4	41021
422	4	41016
423	4	41009
424	4	41018
425	4	41025
501	16	42013
502	16	42008
503	16	42001
504	16	42009
505	16	42011
506	16	42014
507	16	42015
508	16	42010
509	16	42012
510	16	42003
511	16	42004
512	16	42006
513	16	42005
514	16	42002
515	16	42017
516	16	42026
517	16	42023
518	16	42022
519	16	42018
520	16	42016
521	16	42019
522	16	42021
523	16	42024
524	16	42020
525	16	42007
526	16	42025
601	32	44001
602	32	44006
603	32	44007
604	32	44003
605	32	44018
606	32	44002
607	32	44016
608	32	44009
609	32	44004
610	32	44013
611	32	44023
612	32	44008
613	32	44012
614	32	44021
615	32	44019
616	32	44015
617	32	44011
618	32	44010
619	32	44017
620	32	44024
621	32	44020
622	32	44005
623	32	44022
624	32	44014
625	32	44025
