n_ID	n_SP
1	2
2	4
3	9
4	14
5	18
6	23
7	28
8	33
9	37
10	42
11	47
12	97
13	195
14	292
15	390
16	487
17	585
18	682
19	780
20	877
21	975
22	1072
23	1170
24	1267
25	1365
26	1462
27	3403
28	3781
29	4159
30	4538
31	4916
32	5294
33	5672
34	6050
35	6428
36	6807
37	7185
38	7563
39	7941
40	8422
41	8903
42	10032
43	14035
44	15617
45	16301
46	16991
47	17774
48	18565
49	19364
50	20481
51	25570
52	26680
53	27801
54	28933
55	30076
56	31229
57	32505
58	40551
59	42111
60	47125
61	62437
62	66660
63	71030
64	75753
65	80638
66	85899
67	91554
68	97398
69	103660
70	111232
71	119095
72	127502
73	136479
74	146052
75	155972
76	165834
77	176269
78	187295
79	198933
80	208226
81	228655
82	250335
83	273320
84	297662
85	323414
86	338317
87	353819
88	369930
89	387063
90	470613
91	492018
92	527407
93	570172
94	616028
95	664584
96	716522
97	772015
98	812066
99	862216
100	920014
101	1000630
102	1083526
103	1146990
104	1233095
105	1324725
106	1422138
107	1525595
108	1636225
109	1753502
110	2556816
111	2846277
112	3156999
113	3491621
114	3849916
115	5258215
116	6791808
117	8460774
118	10273795
119	12239816
120	13645740
