n_ID	n_LEVEL_LEARN	s_ICON	n_PASSIVE	n_ISCLASS	n_SKILL_FRAME	n_ACHIEVEMENT	s_CONDITIONAL_SKILL	n_LEVELS	f_SP_LEVE1	f_SP_LEVEL2PLUS	s_CONDITIONAL_AMITY	n_PASSIVE_EFFECT	n_CD	n_TARGET	n_EQUIPTYPE	n_EQUIPTYPE_LHAND	n_STAMINA_COST	s_CAST_CONDITION	s_CAST_BEHAVIOR
1	1	IS120	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(1)
2	1	SKILL_002	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(2)
3	1	SKILL_003	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(3)
4	1	SKILL_004	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(4)
5	1	SKILL_006	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(5)
6	1	SKILL_006	2	0	0	0		120	1.0	1.0		0	1	1	0	0	0	GO(0)	CHASE(6)
7	1	SKILL_007	2	0	0	0		120	1.0	1.0		0	1	2	0	0	0	GO(0)	CHASE(7)
8	1	SKILL_008	2	0	0	0		120	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(8)
9	1	IS120	5	0	0	0		1	1.0	1.0		0	204	0	0	0	0	GO(0)	CHASE(9)
10	1	SKILL_010	2	0	0	0		120	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(10)
11	1	SKILL_011	2	0	0	0		120	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(11)
12	1	SKILL_009	2	0	0	0		1	0.0	0.0		0	4	0	0	0	0	GO(0)	CHASE(9905)
13	1	SKILL_010	2	0	0	0		1	0.0	0.0		0	4	0	0	0	0	GO(0)	CHASE(9906)
14	1	IB048	5	0	0	0		120	1.0	1.0		0	203	0	0	0	0	GO(0)	CHASE(14)
15	1	IS120	5	0	0	0		120	1.0	1.0		0	205	0	0	0	0	GO(0)	CHASE(15)
16	1	SKILL_016	2	0	0	0		120	1.0	1.0		0	1	4	0	0	0	RANGE(16)	CHASE(16)
17	1	SKILL_017	2	0	0	0		120	1.0	1.0		0	1	2	0	0	0	RANGE(17)	CHASE(17)
18	1	SKILL_018	2	0	0	0		120	1.0	1.0		0	1	2	0	0	0	RANGE(18)	CHASE(18)
19	1	SKILL_019	2	0	0	0		120	1.0	1.0		0	1	2	0	0	0	RANGE(19)	CHASE(19)
20	1	IB001	2	0	0	0		1	1.0	1.0		0	1	1	1	1	0	GO(0)	CHASE(20)
21	1	IB002	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(21)
22	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(22)
23	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(23)
24	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(24)
25	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(25)
26	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(26)
27	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(27)
28	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(28)
29	1		2	0	0	0		1	1.0	1.0		0	75	0	0	0	0	GO(0)	CHASE(29)
30	1	IB011	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(30)
31	1	IB012	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(31)
32	1	IB013	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(32)
33	1	IB014	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(33)
34	1	IB015	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(34)
35	1	IB016	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(35)
36	1	IB017	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(36)
37	1	IB018	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(37)
38	1	IB019	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(38)
39	1	IB020	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(39)
40	1	IB021	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(40)
41	1	IB022	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(41)
42	1	IB023	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(42)
43	1	IB024	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(43)
44	1	IB025	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(44)
45	1	IB026	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(45)
46	1	IB027	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(46)
47	1	IB028	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(47)
48	1	IB029	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(48)
49	1	IB030	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(49)
50	1	IB031	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(50)
51	1	IB032	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(51)
52	1	IB033	3	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(52)
60	1	IB020	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(60)
61	1	IB021	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(61)
62	1	IB022	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(62)
63	1	IB023	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(63)
64	1	IB024	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(64)
65	1	IB025	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(65)
66	1	IB026	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(66)
67	1	IB027	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(67)
68	1	IB028	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(68)
69	1	IB029	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(69)
70	1	IB030	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(70)
71	1	IB031	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(71)
72	1	IB032	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(72)
73	1	IB033	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(73)
74	1	IB032	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(74)
75	1	IB033	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(75)
76	1	IB034	4	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(76)
80	1	IB030	2	0	0	0		1	1.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(80)
90	1	IB030	2	0	0	0		1	1.0	0.0		0	0	1	0	0	0	RANGE(90)	CHASE(90)
91	1	IB000	2	0	0	0		1	1.0	0.0		0	111	5	0	0	0	GO(0)	CHASE(91)
