n_ID	n_LEVEL_LEARN	s_ICON	n_PASSIVE	n_ISCLASS	n_SKILL_FRAME	n_ACHIEVEMENT	s_CONDITIONAL_SKILL	n_LEVELS	f_SP_LEVE1	f_SP_LEVEL2PLUS	s_CONDITIONAL_AMITY	n_PASSIVE_EFFECT	n_CD	n_TARGET	n_EQUIPTYPE	n_EQUIPTYPE_LHAND	n_STAMINA_COST	s_CAST_CONDITION	s_CAST_BEHAVIOR
99	1	IB030	2	63	0	0		1	1.0	0.0		0	25	1	0	0	0	GO(0)	
110	1	I_AGI5_1	2	0	0	0		1	1.0	0.0		0	1	0	0	0	22	GO(0)	CHASE(110)
111	1	IB004	2	0	0	0		1	0.20000000298023224	0.0		0	1	0	0	0	0	ISVIP_I(1)\nGO(0)	CHASE(111)\nSKIP(782)
2950	40	IB049	2	0	0	0		1	1.0	1.0	525;1	0	38	2	0	0	0	RANGE(2950)	CHASE(2950)
2955	45	IB050	2	0	0	0		1	1.0	1.0	1750;1	0	38	2	0	0	0	RANGE(2955)	CHASE(2955)
2957	45	IS002	2	0	0	0		1	1.0	1.0	3675;1	0	1	2	0	0	25	RANGE(2957)	CHASE(2957)
2960	45	IST000	2	0	0	0		1	1.0	1.0	4900;2	0	19	0	0	0	0	GO(0)	CHASE(2960)
2965	55	IST002	2	0	0	0		1	1.0	1.0	6300;2	0	20	0	0	0	0	GO(0)	CHASE(2965)
2968	65	IST001	2	0	0	0		1	1.0	1.0	7875;3	0	21	0	0	0	0	GO(0)	CHASE(2968)
2971	70	IST005	2	0	0	0		1	1.0	1.0	9215;4	0	22	1	0	0	20	RANGE(2971)	CHASE(2971)
2978	35	IST007	2	0	0	0		1	1.0	1.0	175;1	0	27	2	0	0	0	RANGE(2978)	CHASE(2978)
40001	5	IS124	2	1	0	0		4294967295	0.4000000059604645	1.0		40001	4001	1	1	1	7	KD_ENEMY(1);RANGE(40110)\nRANGE(40001)	CHASE(40110)\nCHASE(40001)
40002	5	IS1000	2	1	0	0		4294967295	0.4000000059604645	1.0		40002	0	0	1	1	0	RANGE(40122);BUFF_I(40122,0,1)\nRANGE(40121);BUFF_I(40121,0,1)\nRANGE(40120);BUFF_I(40120,0,1)\nRANGE(40002)	CHASE(40122)\nCHASE(40121)\nCHASE(40120)\nCHASE(40002)
40003	45	IS110	2	1	0	20		4294967295	0.4000000059604645	1.0		40003	4003	1	1	1	7	RANGE(40003)	CHASE(40003)
40004	15	IS1041	2	1	0	0		4294967295	0.4000000059604645	1.0		40004	0	0	1	1	10	BUFF_I(298,0,1);BUFF_I(40144,0,1)\nBUFF_I(298,0,1);BUFF_I(40143,0,1)\nBUFF_I(298,0,1);BUFF_I(40142,0,1)\nBUFF_I(298,0,1);BUFF_I(40141,0,1)\nBUFF_I(298,0,1);BUFF_I(40140,0,1)\nBUFF_I(298,0,1);BUFF_I(40140,0,0)\nBUFF_I(40144,0,1)\nBUFF_I(40142,0,1)\nBUFF_I(40141,0,1)\nGO(0)	CHASE(40143)\nCHASE(40143)\nCHASE(40142)\nCHASE(40141)\nCHASE(40140)\nCHASE(40004)\nCHASE(40146)\nCHASE(40145)\nCHASE(40144)\nSKIP(729)
40005	115	IS1031	2	1	0	140		4294967295	0.4000000059604645	1.0		40005	4005	0	1	1	30	BUFF_I(298,0,3)\nGO(0)	CHASE(40005)\nSKIP(731)
40006	40	IB041	2	1	0	10		4294967295	0.4000000059604645	1.0		40006	4006	0	1	1	8	GO(0)	CHASE(40006)
40007	90	IS106	2	1	1	120		4294967295	0.4000000059604645	1.0		40007	4007	1	1	1	20	HP_ENEMY>(0.6);RANGE(40170)\nRANGE(40007)	CHASE(40170)\nCHASE(40007)
40008	50	IS40008	2	1	0	30		4294967295	0.4000000059604645	1.0		40008	4008	1	1	1	0	BUFF_I(298,0,1);RANGE(40008)\nGO(0)	CHASE(40008)\nSKIP(729)
40009	75	IS113	2	1	0	80		4294967295	0.4000000059604645	1.0		40009	4009	0	1	1	0	GO(0)	CHASE(40009)
40010	35	IS107	2	1	1	0		4294967295	0.4000000059604645	1.0		40010	4010	1	1	1	18	RANGE(40010)	CHASE(40010)
40011	65	IS1021	2	1	0	60		4294967295	0.4000000059604645	1.0		40011	4011	0	1	1	35	BUFF_I(298,0,5)\nGO(0)	CHASE(40210)\nCHASE(40011)
40012	25	IS40012	2	1	1	0		4294967295	0.4000000059604645	1.0		40012	4012	0	1	1	16	GO(0)	CHASE(40012)
40013	40	I_PER1_1	1	1	0	0	40000;1	1	8.0	1.0		40013	0	0	0	0	0		
40014	5	IS101	2	1	1	0		4294967295	0.4000000059604645	1.0		40014	4014	1	1	1	15	BUFF_ENEMY(7151,0,1)\nRANGE(40014)	CHASE(40240)\nCHASE(40014)
40015	85	IS109	2	1	0	110		4294967295	0.4000000059604645	1.0		40015	4015	1	1	1	25	BUFF_I(298,0,2);RANGE(40015)\nGO(0)	CHASE(40015)\nSKIP(730)
