n_ID	s_SKILL_TITLE
99	Normal Attack
110	Strive Jump
111	VIP Strive Jump
2950	Joint Jump
2955	Magic Circle
2957	Energy Absorb
2960	Team Energy Call
2965	Team Defensive Call
2968	Team Attacking Call
2971	Sunbeam
2978	Life Transfer
40001	Jixi Killing Sword
40002	Chain Attack
40003	Disability
40004	Violent Puncture
40005	Bloodlust Sword
40006	Hell Chili Powder
40007	Three God Sword
40008	Frenzy Attack
40009	Bloody Wave
40010	Circle Rip
40011	Bladestorm
40012	Scythe Tornado
40013	Advanced Discipline Gladiator
40014	Flying Kick Strike
40015	Roughs Batter
40016	Leap Assassinate
40017	Blast Gesture
40018	Skip Step
40019	Breath Attention
40020	Wake
40021	Fighting Vitality
40022	Gladiator Senior Discipline
40023	Fixing knife
40024	Track of Blood
40025	Elite Gladiator Discipline
41001	Facial Shot
41002	Fire Extinguisher
41003	Accelerate
41004	Deadly Aim
41005	Bullet Run
41006	Ballistics
41007	Advanced Discipline Sharpshooter
41008	Defense Turret
41009	Explode Equipment
41010	Senior Discipline Sharpshooter
41011	Front Actuarial Shooting
41012	Plasma Bomb
41013	Piercing Shot
41014	Evade shooting
41015	Excessive Loading Bombs
41016	Enchanting Bullet Etching
41017	Burst Shooting
41018	Massacre Fire
41019	Smoke Grenade
41020	Frag Grenades
41021	Suppressive Fire
41022	Mount Landmine
41023	Frost Landmine
41024	Chicken Nails
41025	Elite Discipline Sharpshooters
42001	Electrostatic Field
42002	Lightning Raid
42003	Lightning Barrier
42004	Advanced Discipline Stormherald
42005	Power Armor
42006	Lightning Dominated
42007	Typhoon Collapse
42008	Lightning Ball
42009	Electrostatic Wound
42010	Ice Wound
42011	Track Bulb
42012	Oriented Tornado
42013	Frost Bomb
42014	Lightning Strike
42015	Energy Absorb
42016	Senior Discipline Stormherald
42017	Plasma Ball
42018	Frost Core
42019	Hurricane Gravity
42020	Lightning Fury
42021	Snow Judgment
42022	Thunder
42023	Ice Armor
42024	Storm Armor
42025	Elite Discipline Stormherald
42026	Frozen Orb
43001	Thunderclap
43002	Parry
43003	Struggling Maul
43004	Enchant Weapon
43005	Crushed Earth
43006	Hate Call
43007	Light Hammer
43008	Shield
43009	Triple Maul
43010	Bane
43011	Blitz
43012	Advance Batter Roar
43013	Fury Strike
43014	Protective Aura
43015	Attack Aura
43016	Divine Aura
43017	Divine Light
43018	Light Guard
43019	Accurately
43020	Destruction Wave
43021	Shield Throw
43022	Battle call
43023	Advanced Discipline Imperial Knights
43024	Senior Discipline Imperial Knights
43025	Elite Discipline Imperial Knights
44001	Fireball
44002	Fireball Combo
44003	Eclipse
44004	Sun Beam
44005	Solar Flares
44006	Blazing Armor
44007	Warm Cure
44008	Sunshine Cure
44009	Coronal
44010	Flame Passage
44011	Life Flares
44012	Prayer Cure
44013	Sun Shield
44014	Dedicate
44015	Fountain of Life
44016	Punish Marking
44017	Regenerative Energy
44018	Flares
44019	Solar Lance
44020	Ball of light
44021	Solar Flare
44022	Solar Strom
44023	Advanced Discipline Solar Priest
44024	Senior Discipline Solar Priest
44025	Elite Discipline Solar Priest
