n_ID	n_EXP_CURRENTLV	n_POINT_ABILITY	n_DEADLOSS	n_PVP_EXP	n_PVP_SP	n_PVP_MONEY	n_DEFENCE_CONSTANT
1	0	0	0	0	0	0	30
2	79	1	0	0	0	0	36
3	158	1	0	0	0	0	39
4	238	1	0	0	0	0	42
5	317	1	0	0	0	0	45
6	396	1	0	0	0	0	49
7	476	1	0	0	0	0	53
8	555	1	0	0	0	0	57
9	634	1	0	0	0	0	62
10	714	1	0	0	0	0	67
11	793	2	0	0	0	0	73
12	1638	2	0	0	0	0	79
13	3276	2	0	0	0	0	86
14	4914	2	0	0	0	0	93
15	6553	2	0	0	0	0	101
16	8191	2	0	0	0	0	110
17	9829	2	0	0	0	0	119
18	11468	2	0	0	0	0	129
19	13106	2	0	0	0	0	140
20	14744	2	0	0	0	0	151
21	16383	3	0	0	0	0	163
22	18021	3	0	0	0	0	176
23	19659	3	0	0	0	0	190
24	21298	3	0	0	0	0	205
25	22936	3	0	0	0	0	221
26	24574	3	0	0	0	0	238
27	57180	3	0	0	0	0	257
28	63533	3	0	0	0	0	277
29	69887	3	0	0	0	0	299
30	76240	3	0	0	0	0	322
31	82594	4	0	0	0	0	344
32	88947	4	0	0	0	0	368
33	95300	4	0	0	0	0	393
34	101654	4	0	0	0	0	420
35	108007	4	0	0	0	0	449
36	114360	4	0	804	402	0	480
37	120714	4	0	840	420	0	513
38	127067	4	0	876	438	0	548
39	133421	4	0	912	456	0	586
40	141503	4	0	948	474	0	627
41	142106	5	0	984	492	0	664
42	143192	5	0	1026	513	0	703
43	144278	5	0	1068	534	0	745
44	145364	5	0	1110	555	0	789
45	146450	5	0	1152	576	0	836
46	147536	5	0	1194	597	0	886
47	148622	5	0	1242	621	0	939
48	149711	5	0	1290	645	0	995
49	156153	5	0	1338	669	0	1054
50	165164	5	0	1386	693	0	1117
51	189734	6	10310	1434	717	0	1184
52	199838	6	10780	1488	744	0	1255
53	210179	6	11256	1542	771	0	1330
54	220761	6	11738	1596	798	0	1409
55	231586	6	12227	1650	825	0	1493
56	242656	6	12723	1704	852	0	1582
57	254840	6	13269	1764	882	0	1676
58	275343	6	14317	1824	912	0	1776
59	288882	6	14903	1884	942	0	1882
60	326576	6	16718	1944	972	0	1994
61	349648	7	17762	2004	1002	0	2093
62	377028	7	19008	2082	1041	0	2197
63	405728	7	20302	2160	1080	0	2306
64	436948	7	21703	2244	1122	0	2421
65	469639	7	23156	2328	1164	0	2542
66	505090	7	24725	2418	1209	0	2669
67	543469	7	26414	2514	1257	0	2802
68	583609	7	28165	2610	1305	0	2942
69	626938	7	30046	2712	1356	0	3089
70	678964	7	32316	2820	1410	0	3243
71	733626	8	35214	2928	1464	0	3405
72	785414	8	38356	3042	1521	0	3574
73	840713	8	41760	3162	1581	0	3751
74	899681	8	45442	3288	1644	0	3937
75	960791	8	49332	3414	1707	0	4132
76	1021541	8	53305	3546	1773	0	4336
77	1085818	8	57568	3684	1842	0	4550
78	1153740	8	62134	3828	1914	0	4774
79	1225427	8	67019	3978	1989	0	5008
80	1282673	8	71223	4134	2067	0	5253
81	1408514	9	78364	4290	2145	0	5510
82	1542066	9	85963	4452	2226	0	5779
83	1683652	9	94039	4620	2310	0	6062
84	1833599	9	102614	4794	2397	0	6359
85	1992231	9	111709	4974	2487	0	6670
86	2084033	9	117084	5160	2580	0	6996
87	2179525	9	122687	5352	2676	0	7338
88	2278769	9	128522	5550	2775	0	7697
89	2384308	9	134735	5760	2880	0	8074
90	2898977	9	164134	5976	2988	0	8469
91	3067569	10	174135	6198	3099	0	8875
92	3327588	10	189377	6432	3216	0	9301
93	3639982	10	207670	6672	3336	0	9747
94	3978720	10	227545	6924	3462	0	10214
95	4341949	10	248905	7182	3591	0	10704
96	4734778	10	272049	7452	3726	0	11196
97	5159120	10	297096	7734	3867	0	11711
98	5487404	10	316692	8022	4011	0	12249
99	5890664	10	340692	8322	4161	0	12812
100	6354235	10	368270	8616	4308	0	13401
101	6583725	11	381614	8922	4461	0	13990
102	6813216	11	394958	9240	4620	0	14605
103	7285683	11	423267	9570	4785	0	15247
104	7911539	11	460605	9912	4956	0	15917
105	8584223	11	500809	10266	5133	0	16617
106	9306471	12	544053	10632	5316	0	17314
107	10081131	12	590515	11010	5505	0	18041
108	10916895	12	640719	11406	5703	0	18798
109	11811595	12	694555	11814	5907	0	19587
110	15749987	12	926099	12234	6117	0	20409
111	17692459	13	1042420	12648	6324	0	21225
112	19800702	13	1168948	13074	6537	0	22074
113	22094982	13	1306927	13518	6759	0	22956
114	24577866	13	1456561	13974	6987	0	23874
115	33862905	13	2010573	14448	7224	0	24828
116	44119590	14	2624354	14934	7467	0	25821
117	55434992	14	3303356	15438	7719	0	26853
118	67889237	14	4052642	15960	7980	0	27927
119	81566134	14	4877517	16500	8250	0	29044
120	91699378	14	5492792	17058	8529	0	30205
121	104744829	15	6284689	17634	8817	0	31407
122	108010728	15	6491267	18228	9114	0	32650
123	111315973	15	6700678	18840	9420	0	33936
124	114660568	15	6912922	19470	9735	0	35266
125	118044511	15	7127999	20118	10059	0	36641
126	121467801	16	7345909	20784	10392	0	38062
127	124930441	16	7566653	21468	10734	0	39531
128	128432428	16	7790229	22170	11085	0	41048
129	131973762	16	8016638	22890	11445	0	42616
130	135554446	16	8245881	23628	11814	0	44235
131	138112078	17	8414212	24384	12192	0	45907
132	140669708	17	8583016	25164	12582	0	47633
133	143227340	17	8752292	25968	12984	0	49414
134	145784971	17	8922040	26796	13398	0	51252
135	148342603	17	9092260	27648	13824	0	53148
136	150900233	18	9262952	28524	14262	0	55103
137	153457864	18	9434117	29424	14712	0	57119
138	156015496	18	9605754	30348	15174	0	59198
139	158573126	18	9777862	31296	15648	0	61340
140	161130758	18	9950444	32268	16134	0	63548
141	163688389	19	10123497	33270	16635	0	65823
142	166246019	19	10297022	34302	17151	0	68166
143	168803651	19	10471020	35364	17682	0	70579
144	171361282	19	10645490	36456	18228	0	73063
145	173918912	19	10820432	37578	18789	0	75620
146	176476544	20	10995846	38730	19365	0	78251
147	179034176	20	11171732	39912	19956	0	80958
148	181591807	20	11348091	41130	20565	0	83742
149	184149437	20	11524921	42384	21192	0	86605
150	186707069	20	11702224	43674	21837	0	89549
151	189264700	21	11879999	45000	22500	0	92575
152	191822330	21	12058246	46362	23181	0	95685
153	194379962	21	12236966	47760	23880	0	98880
154	196937594	21	12416157	49200	24600	0	102162
155	199495223	21	12595821	50682	25341	0	105533
156	202052855	22	12775957	52206	26103	0	108994
157	204610487	22	12956565	53772	26886	0	112547
