n_ID	s_NAME	n_QUATITY_STACK
6	Fruit Wine Jar	1
7	Fruit Wine Jar	1
10	Fruit Wine Jar	1
17	Special Wine Jar	1
20	Special Wine Jar	1
27	Flavour Wine Jar	1
30	Flavour Wine Jar	1
36	Beginner Oblivion White Pill	25
37	Normal Oblivion White Pill	25
38	Advanced Oblivion White Pill	25
39	Beginner Oblivion Green Pill	25
40	Normal Oblivion Green Pill	25
41	Advanced Oblivion Green Pill	25
42	Class Chage Book	1
46	Blood Cubic Crystal	1
47	Energy Cubic Crystal	1
48	Nutrition Soda Pack	25
49	Nutrition Biscuit Pack	25
50	Nutrition Bunopang Pack	25
51	Nutrition Dango Pack	25
52	Extra Nutrition Pack	25
53	Crew Friend Tip	25
54	Special Material Pack	25
55	Slime Box	25
56	Mallet Special Box	25
60	Refining Protect Doll	25
61	Beginner Soul Jade  Change Log	25
62	Advanced Soul Jade  Change Log	25
63	Old Doll	25
64	Old Capsule	25
84	Blank Message Bottle	1
85	Penfriend Message Bottle	1
86	Salvage Penfriend Message Bottle	1
87	Message Bottle	1
91	Crew Equipment Box Lv.1	1
92	Crew Equipment Box Lv.2	1
93	Crew Equipment Box Lv.3	1
94	Crew Equipment Box Lv.4	1
95	Crew Equipment Box Lv.5	1
98	EXP loit Jelly	25
99	Energy Crystal(General)	25
100	Energy Crystal (General)	25
101	Dim Light	1
102	Dusk Light	1
103	Light	1
104	Blink Light	1
105	Dazzling Light	1
106	Hurt Evil Eye	1
107	Vacant Evil Eye	1
108	Evil Eye	1
109	Gaze Evil Eye	1
110	Sparkle Evil Eye	1
111	Rupture Rock Skin	1
112	Inferior Rock Skin	1
113	Rock Skin	1
114	Solid Rock Skin	1
115	Hard Rock Skin	1
116	Rupture Sparkling Skull	1
117	Dim Sparkling Skull	1
118	Sparkling Skull	1
119	Blink Sparkling Skull	1
120	Dazzling Sparkling Skull	1
121	Fail Greystone Talisman	1
122	Fuzzy Greystone Talisman	1
123	Greystone Talisman	1
124	Clear Greystone Talisman	1
125	Potent Greystone Talisman	1
126	Rupture Dragon Bone Necklace	1
127	Defect Dragon Bone Necklace	1
128	Dragon Bone Necklace	1
129	Hard Dragon Bone Necklace	1
130	Perfect Dragon Bone Necklace	1
131	Stupid Gold Tiger Claw	1
132	Cub Gold Tiger Claw	1
133	Gold Tiger Claw	1
134	Ripe Gold Tiger Claw	1
135	Sharp Gold Tiger Claw	1
136	Stupid Guide Pin	1
137	Defect Guide Pin	1
138	Guide Pin	1
139	Part Time Guide Pin	1
140	Perfect Guide Pin	1
141	Rift Crystal	1
142	Dim Crystal	1
143	Crystal	1
144	Clear Crystal	1
145	Bright Crystal	1
146	Calm Ghost Hammer	1
147	Quiver Ghost Hammer	1
148	Ghost Hammer	1
149	Lament Ghost Hammer	1
150	Tyrannical Ghost Hammer	1
151	Meager Prayer	1
152	One Way Prayer	1
153	Prayer	1
154	Number Prayer	1
155	Abundant Prayer	1
156	Purify Evil Mask	1
157	Weak Evil Mask	1
158	Evil Mask	1
159	Lament Evil Mask	1
160	Laughter Evil Mask	1
161	Vacant Correct Eye	1
162	Tired Correct Eye	1
163	Correct Eye	1
164	Gaze Correct Eye	1
165	Clever Correct Eye	1
166	Mess Lucky Feather	1
167	Curl Lucky Feather	1
168	Lucky Feather	1
169	Beauty Lucky Feather	1
170	Perfect Lucky Feather	1
171	Dim Force Crystal	1
172	Dusk Force Crystal	1
173	Force Crystal	1
174	Blink Force Crystal	1
175	Dazzling Force Crystal	1
176	Dim Rough Crystal	1
177	Dusk Rough Crystal	1
178	Rough Crystal	1
179	Blink Rough Crystal	1
180	Dazzling Rough Crystal	1
181	Fail Lax Symbol	1
182	Fuzzy Lax Symbol	1
183	Lax Symbol	1
184	Clear Lax Symbol	1
185	Potent Lax Symbol	1
186	Useless Cursed Doll	1
187	Rip Cursed Doll	1
188	Cursed Doll	1
189	Sturdy Cursed Doll	1
190	Perfect Cursed Doll	1
191	Rupture Demon Necklace	1
192	Defect Demon Necklace	1
193	Demon Necklace	1
194	Hard Demon Necklace	1
195	Perfect Demon Necklace	1
196	Wither Eternal Leaf	1
197	Drying Eternal Leaf	1
198	Eternal Leaf	1
199	Fresh Eternal Leaf	1
200	Perfect Eternal Leaf	1
401	Basic Breechloader [Left ]	1
402	Simple Ejector	1
403	Basic Breechloader [Right]	1
404	Hunter Breechloader [Left ]	1
405	Spear Ejector	1
406	Hunter Breechloader [Right]	1
407	Military Breechloader [Left ]	1
408	Military Javelin Ejector	1
409	Military Breechloader [Right]	1
410	Expedition Breechloader [Left ]	1
411	Expedition Cluster Equipment	1
412	Expedition Breechloader [Right]	1
414	Rampage Device	1
415	Armor Warship	1
416	Cross Mine	1
417	Fishnet [Front]	1
418	Fishnet [Back]	1
419	Accelerate	1
423	Machine Gun [Left ]	1
424	Strength Gun [Left ]	1
425	Iron Ball [Left ]	1
426	Aerosol Bomb [Left ]	1
429	Machine Gun [Right]	1
430	Strength Gun [Right]	1
431	Iron Ball [Right]	1
432	Aerosol Bomb [Right]	1
434	Design: Rampage Device	25
435	Design: Armored Warship	25
436	Design: Cross Mine	25
437	Design: Fishing Net【หน้า】	25
438	Design: Fishing Net【หลัง】	25
439	Design: Quicken	25
443	Design: Running Fire【ซ้าย】	25
444	Design: Strong Cannon【ซ้าย】	25
445	Design: Iron Ball【ซ้าย】	25
446	Design: Smoke Bomb【ซ้าย】	25
449	Design: Running Fire【ขวา】	25
450	Design: Strong Cannon【ขวา】	25
451	Design: Iron Ball【ขวา】	25
452	Design: Smoke Bomb【ขวา】	25
501	Guild Red Crystal Maintain Lv.1	25
502	Guild Red Crystal Maintain Lv.2	25
503	Guild Red Crystal Maintain Lv.3	25
504	Guild Red Crystal Maintain Lv.4	25
505	Guild Red Crystal Maintain Lv.5	25
507	Guild Blue Crystal Maintain Lv.1	25
508	Guild Blue Crystal Maintain Lv.2	25
509	Guild Blue Crystal Maintain Lv.3	25
510	Guild Blue Crystal Maintain Lv.4	25
511	Guild Blue Crystal Maintain Lv.5	25
513	Guild Green Crystal Maintain Lv.1	25
514	Guild Green Crystal Maintain Lv.2	25
515	Guild Green Crystal Maintain Lv.3	25
516	Guild Green Crystal Maintain Lv.4	25
517	Guild Green Crystal Maintain Lv.5	25
519	Coarse Red Crystal Maintain	25
520	General Red Crystal Maintain	25
521	Coarse Red Crystal Maintain	25
522	Coarse Blue Crystal Maintain	25
523	General Blue Crystal Maintain	25
524	Coarse Blue Crystal Maintain	25
525	Coarse Green Crystal Maintain	25
526	General Green Crystal Maintain	25
527	Coarse Green Crystal Maintain	25
528	Reward Red Crystal Maintain Lv.1	25
529	Reward Red Crystal Maintain Lv.2	25
530	Reward Red Crystal Maintain Lv.3	25
531	Reward Red Crystal Maintain Lv.4	25
532	Reward Red Crystal Maintain Lv.5	25
533	Reward Red Crystal Maintain Lv.6	25
534	Reward Blue Crystal Maintain Lv.1	25
535	Reward Blue Crystal Maintain Lv.2	25
536	Reward Blue Crystal Maintain Lv.3	25
537	Reward Blue Crystal Maintain Lv.4	25
538	Reward Blue Crystal Maintain Lv.5	25
539	Reward Blue Crystal Maintain Lv.6	25
540	Reward Green Crystal Maintain Lv.1	25
541	Reward Green Crystal Maintain Lv.2	25
542	Reward Green Crystal Maintain Lv.3	25
543	Reward Green Crystal Maintain Lv.4	25
544	Reward Green Crystal Maintain Lv.5	25
545	Reward Green Crystal Maintain Lv.6	25
551	General Red Crystal Maintain	25
552	Meticulous Red Crystal Maintain	25
553	Aggregate Red Crystal Maintain	25
554	Advanced Red Crystal Maintain	25
555	Refined Red Crystal Maintain	25
556	Perfect Red Crystal Maintain	25
561	General Blue Crystal Maintain	25
562	Meticulous Blue Crystal Maintain	25
563	Aggregate Blue Crystal Maintain	25
564	Advanced Blue Crystal Maintain	25
565	Refined Blue Crystal Maintain	25
566	Perfect Blue Crystal Maintain	25
571	General Green Crystal Maintain	25
572	Meticulous Green Crystal Maintain	25
573	Aggregate Green Crystal Maintain	25
574	Advanced Green Crystal Maintain	25
575	Refined Green Crystal Maintain	25
576	Perfect Green Crystal Maintain	25
651	Maintain Pack Lv.60(Red)	25
652	Maintain Pack Lv.60(Green)	25
653	Maintain Pack Lv.60(Blue)	25
654	Maintain Pack Lv.80(Red)	25
655	Maintain Pack Lv.80(Green)	25
656	Maintain Pack Lv.80(Blue)	25
657	Maintain Pack Lv.90(Red)	25
658	Maintain Pack Lv.90(Green)	25
659	Maintain Pack Lv.90(Blue)	25
660	Maintain Pack Lv.100(Red)	25
661	Maintain Pack Lv.100(Green)	25
662	Maintain Pack Lv.100(Blue)	25
663	Maintain Pack Lv.110(Red)	25
664	Maintain Pack Lv.110(Green)	25
665	Maintain Pack Lv.110(Blue)	25
666	Maintain Pack Lv.115(Red)	25
667	Maintain Pack Lv.115(Green)	25
668	Maintain Pack Lv.115(Blue)	25
669	Advanced Maintain Pack(Red)	25
670	Advanced Maintain Pack(Green)	25
671	Advanced Maintain Pack(Blue)	25
672	Special Maintain Pack(Red)	25
673	Special Maintain Pack(Green)	25
674	Special Maintain Pack(Blue)	25
675	Maintain Pack Lv.50(Red)	25
676	Maintain Pack Lv.50(Green)	25
677	Maintain Pack Lv.50(Blue)	25
678	Maintain Pack Lv.70(Red)	25
679	Maintain Pack Lv.70(Green)	25
680	Maintain Pack Lv.70(Blue)	25
701	Small Money Pack Reward Lv.1	1
702	Small Money Pack Reward Lv.2	1
703	Small Money Pack Reward Lv.3	1
704	Small Money Pack Reward Lv.4	1
705	Small Money Pack Reward Lv.5	1
706	Small Money Pack Reward Lv.6	1
707	Small Money Pack Reward Lv.7	1
708	Small Money Pack Reward Lv.8	1
709	Navigation Money Pack(Micro)	1
710	Navigation Money Pack(Less)	1
711	Navigation Money Pack(Medium)	1
712	Navigation Money Pack(More)	1
751	Beginner Essence Dew	999
752	EXP ert Essence Dew	999
753	Advanced Essence Dew	999
754	Special Essence Dew	999
755	Reward Essence Dew Lv.1	25
756	Reward Essence Dew Lv.2	25
757	Reward Essence Dew Lv.3	25
758	Reward Essence Dew Lv.4	25
759	Reward Essence Dew Lv.5	25
760	Reward Essence Dew Lv.6	25
761	Essence Dew Pack Lv.40	25
762	Essence Dew Pack Lv.60	25
763	Essence Dew Pack Lv.80	25
764	Essence Dew Pack Lv.90	25
765	Essence Dew Pack Lv.100	25
766	Essence Dew Pack Lv.110	25
767	Essence Dew Pack Lv.115	25
768	2 Star Essence Dew Pack	25
769	3 Star Essence Dew Pack	25
802	Croseyes Rubik's Cube	25
803	Seabed Crusader Rubik's Cube	25
804	Ancient Guard Rubik's Cube	25
805	Guard Profession Rubik's Cube	25
806	Protect Profession Rubik's Cube	25
807	Elf Profession Rubik's Cube	25
808	Aris Suit Rubik's Cube	25
809	Muse Suit Rubik's Cube	25
810	Hercules Suit Rubik's Cube	25
811	Apollo Ornament Rubik's Cube	25
812	Hermes Ornament Rubik's Cube	25
813	Destiny Egg	25
815	Seabed Crusader Rubik's Cube(Secret)	25
816	Elf Profession Rubik's Cube(Secret)	25
817	Aris Suit Rubik's Cube(Secret)	25
818	Muse Suit Rubik's Cube(Secret)	25
819	Hercules Suit Rubik's Cube(Secret)	25
820	Wishing Rubik's Cube	25
821	Detective Treasure Box	1
822	Fantasy Fruit-Rosemary	25
823	Fantasy Fruit-Grace	25
824	Fantasy Fruit-Nelson	25
825	Strange Fruit-Isoroku Yamamoto	25
826	Fantasy Fruit-Sea Phantom	25
827	Fantasy Fruit-Madisen	25
828	Fantasy Fruit-Edward	25
829	Fantasy Fruit-Angelina	25
830	Fantasy Fruit-Odyssey	25
831	Fantasy Fruit-Plato	25
832	Fantasy Fruit-Siren	25
833	Hunter Rubik's Cube	25
834	Surprise Egg(1)	1
835	Surprise Egg(2)	1
836	Surprise Egg(3)	1
837	Surprise Egg(4)	1
838	Surprise Egg(5)	1
839	Surprise Egg(6)	1
840	Surprise Egg(7)	1
841	Surprise Egg(8)	1
842	Surprise Egg(9)	1
843	Surprise Egg(10)	1
844	Surprise Egg(11)	1
845	Surprise Egg(12)	1
846	Practice Book	1
847	Purple Pumpkin Surprise	25
848	Companion Gashapon	1
849	Christmas Box	1
850	Chocolate Surprise Box	1
851	Pirate Rubik Cube	25
901	Camouflage Item-Cask	99
902	Camouflage Item-Crate	99
903	Camouflage Item-Yellow Stone	99
904	Camouflage Item-Cactus	99
905	Camouflage Item-Blue barrel	99
906	Camouflage Item-Wild Pineapple	99
907	Camouflage Item-Lotus	99
908	Camouflage Item-Dark Cage	99
909	Camouflage Item-Green Grass	99
910	Camouflage Item-Gray \nPillar	99
911	Camouflage Item-Tinderbox	99
912	Camouflage Item-Cannonball Box	99
913	Camouflage Item-Tribal tombstone	99
914	Camouflage Item-Firewood pile	99
915	Camouflage Item-Snow pillar	99
916	Camouflage Item-Snow grass	99
917	Camouflage Item-Snow Flower	99
918	Camouflage Item-Prototype Machine	99
919	Camouflage Item-Air defense Fort	99
920	Camouflage Item-Volcano Crystal	99
921	Camouflage Item-Volcano Plant	99
922	Camouflage Item-Brown Grass	99
923	Camouflage Item-Gallipot	99
924	Camouflage Item-Egg Shape Stone	99
925	Prototype Pumpkin	99
926	Grimace pumpkin	99
927	Candle Grimace pumpkin	99
928	Poseidon Instrument Field Guide Esoteric	1
929	Snowman	99
930	Christmas Tree	99
931	Christmas Gift	99
932	Violent Snowball	99
933	Snowball	999
934	Mother's Day Box	99
935	กล่องกระทง	99
1001	Red Potion Lv.1	25
1002	Red Potion Lv.2	25
1003	Red Potion Lv.3	25
1004	Red Potion Lv.4	25
1005	Red Potion Lv.5	25
1006	Weak Red Potion	25
1007	Minor Red Potion	25
1008	Low Red Potion	25
1009	Light Red Potion	25
1010	Flat Red Potion	25
1011	Medium Red Potion	25
1012	High Red Potion	25
1013	Efficient Red Potion	25
1014	Heal Essence Lv.1	1
