n_ID	s_NAME	n_QUATITY_STACK
1	Adventure Key	25
2	Poseidon Gold	999
3	EXP ansion Crystal Lattice	1
4	EXP ansion Crystal Lattice	1
5	Massage Horn	25
7	Earth Element	999
8	Water Element	999
9	Fire Element	999
10	Wind Element	999
18	Test Slime	1
19	Test Slime X	1
20	Test Slime A	1
21	Test Slime B	1
22	Kindly Pumpkin	25
23	Color Feather	25
24	Soft Snowflake	25
25	Element Pack (Earth) LV.1	25
26	Element Pack (Earth) LV.2	25
27	Element Pack (Earth) LV.3	25
28	Element Pack (Earth) LV.4	25
29	Element Pack (Earth) LV.5	25
41	Red Gem	25
42	Blue Gem	25
43	Green Gem	25
44	Reward Red Gem	25
45	Reward Blue Gem	25
46	Reward Green Gem	25
47	Advanced Gem Pack	25
48	Special Gem Pack	25
49	Reward Gem Pack	25
51	Ship Colourant No.1	25
52	Ship Colourant No.2	25
53	Ship Colourant No.3	25
54	Ship Colourant No.4	25
55	Ship Colourant No.5	25
57	Color Paint No.1	25
58	Color Paint No.2	25
59	Color Paint No.3	25
60	Color Paint No.4	25
61	Black Color Paint	25
62	Color Paint No.4	25
81	Incredible Key	1
91	Damage Piece	1
92	Broken Piece	1
93	Illegible Piece	1
94	Smudge Piece	1
95	World Essence	99
96	Ship Soul White Jade	25
97	Ship Soul Green Jade	25
98	Ship Soul Blue Jade	25
99	Pivot Station	25
101	Small Fruit	999
102	Wild Fruit	999
103	Empty Fruit	999
151	Red Herb	999
152	Green Herb	999
191	Forest Spring	999
192	Mountain Spring	999
193	Special Sugar	999
194	Purify Sugar	999
195	Turmeric Sugar	999
196	Fruit Sugar	999
251	Refreshing Crystal	999
252	Snow Short Wing	999
254	Energy Fire	999
255	Flame Horn	999
256	Guard Cover	999
281	Al Timo Core	15
282	Beirut Gauntlets	20
283	Cruise Sword	25
284	Medea Wristband	30
285	Armoured Car Piece	35
286	Dante Helmet	40
287	Nora Jana Gear	45
291	Guild Energy Lv.3	1
292	Guild Energy Lv.4	1
293	Guild Energy Lv.5	1
294	Guild Energy Lv.6	1
295	Guild Energy Lv.7	1
296	Guild Energy Lv.8	1
297	Guild Energy Lv.9	1
301	Red Flower	25
302	None Herb	25
303	Yellow Flower	25
304	Drop Herb	25
305	Pesto Flower	25
321	Ingenuity White Chain	25
322	Ingenuity Green Chain	25
323	Ingenuity Blue Chain	25
324	Ingenuity Purple Chain	25
341	Nautical Locator	25
342	Reborn Locator	25
343	Guild Island  Locator	25
344	Accurate Nautical Locator	1
351	Extra Gold Brick	1
352	Broken Unknown Relic	1
353	Damage Unknown Relic	1
354	Seal Unknown Relic	1
355	Broken Drop Relic	1
356	Damage Drop Relic	1
357	Seal Drop Relic	1
358	Broken Undersea Relic	1
359	Damage Undersea Relic	1
360	Seal Undersea Relic	1
361	Broken Sky Relic	1
362	Damage Sky Relic	1
363	Seal Sky Relic	1
364	Mystery Ice Fish Fossil	25
365	Meteor Brass Ring	25
366	Quench Dusk Essence	25
367	Dusk Crystal Stone	25
368	Quench Dawn Essence	25
369	Dawn Crystal Stone	25
370	Quench Rising Sun Essence	25
371	Rising Sun Crystal Stone	25
372	Quench Hot Sun Essence	25
373	Hot Sun Crystal Stone	25
374	Doctor Patience	1
375	Doctor Attentive	1
376	Doctor Intimate	1
377	Doctor Caring	1
378	Doctor Salvation	1
379	Muti Kill Warranty	999
380	Dark Island Map-1	1
381	Dark Island Map-2	1
382	Dark Island Map-3	1
383	Dark Island Map-4	1
384	Empty Cask	1
385	Rusty Key	1
386	Map Piece Trail	1
387	Arena  Honor Seal	999
388	Quench Ocean Essence	25
389	Ocean Crystal Stone	25
390	Quench Furious Essence	25
391	Furious Crystal Stone	25
392	Sea Battle Medal	999
401	Port Royal  Treasure License	1
402	Prison Exile Island  Treasure License	1
403	Spice Paradise Island  Treasure License	1
404	Slave Market Island  Treasure License	1
405	Evil Port  Treasure License	1
406	Ocean Walled City  Treasure License	1
407	Voodoo Island Treasure License	1
408	Silver Harbour Treasure License	1
409	Death City Sea Treasure License	1
410	Deep Sea Temple Treasure License	1
411	Drake empty Walled Treasure License	1
412	Hell Volcanic Island Treasure License	1
413	Lost Eden Treasure License	1
414	Sunset Deserted Treasure License	1
501	Surface Exchange Doll- Headdress	25
502	Surface Exchange Doll- Armor	25
503	Surface Exchange Doll- Legging	25
504	Mystic Headdress Capsule	25
505	Mystic Armor Capsule	25
506	Mystic Legging Capsule	25
507	Dark Arcane Doll	25
508	Arcane Capsule	25
509	Mystery Treasure Doll	25
510	Mystic Capsule	25
511	Guild Glory Doll	25
512	Glory Capsule	25
513	Beginner Class Capsule	25
514	EXP ert Class Capsule	25
515	Croseyes Residual Page	99
516	Juoda Residual Page	99
517	Red Flame Demon Wolf Residual Page	99
518	White Jade Mold(5%)	25
519	White Jade Mold(10%)	25
520	White Jade Mold(20%)	25
521	White Jade Mold(40%)	25
522	White Jade Mold(80%)	25
523	White Jade Mold(100%)	25
524	Green Jade Mold(5%)	25
525	Green Jade Mold(10%)	25
526	Green Jade Mold(20%)	25
527	Green Jade Mold(40%)	25
528	Green Jade Mold(80%)	25
529	Green Jade Mold(100%)	25
