n_ID	s_NAME	n_QUATITY_STACK
1	Sky Lantern	999
2	Dead Soul Tooth Piece	999
3	Navy Reward Bill	999
4	Pottery Pot	999
5	Crimson Pigeon Egg	999
6	Lucky Canine	999
7	Princess Sick Leave	999
8	History Exam	999
9	First Conscription Poster	999
10	Carnival Night Poster	999
11	Evidence Confession	999
12	Prison Transfer Requisition	999
13	Cheat Death Pill	999
14	Warm Muffler	999
15	Ice Hammer	999
16	Limited Edition Poseidon Gold	999
17	Second Conscription Poster	999
18	Leftover Bone	999
20	Cage Key	999
21	Snow Deer Steak	999
25	13 Die Cage Key	999
26	Shell Stone	999
27	Green Coconut	999
28	Yellow Mud Water	999
29	Maggot Biscuit	999
30	Sheep First Horn	999
31	Royal Secret File	999
32	Earthy Dewclaw	999
33	South Sea Pepper	999
34	Hook Bait	999
35	New Navy Female Photobook	999
36	Royal Rum	999
37	Folder Piece	999
38	Kraus Captain Hat	999
39	Ancient Inscription	999
40	Blue Moon Spice	999
41	Sweetheart Berry	999
42	Mushroom Spices	999
43	Merchant marine Chamber Flag rag	999
44	Merchant marine Chamber Badge	999
45	Ancient Machine Gear	999
48	Sun Type Gear	999
49	Solar Crystal	999
50	Sky Hometown Chronicle	999
51	Jadeite Bracelet	999
52	Musk Coconut	999
53	Lenka Egg	999
54	Sweet Honey	999
55	Gold Shark Chamber Bride Price	999
56	Pineapple Juice Price	999
57	Tiger Steak	999
58	Raspberry Bibi Egg	999
59	Paradise Flowers Petal	999
60	Ancient Stone Piece	999
61	Alert Weapon Part	999
62	Red Wisdom Crystal	999
63	Silver Bone Necklace	999
64	Grandmother Beryl Cup	999
65	Small Empty Paper Roll	999
66	Diary Missing Page	1
67	Diary Key	1
68	Third Conscription Poster	999
69	Super Dirty Navy Female Photobook	999
70	Black Heart Wing	999
71	Royal Necklace	999
72	Firebird Feather	999
73	Heil Herb	999
74	Fighting Soul Doping	999
75	Skyhook Talon	999
76	Snake Saliva	999
77	Biogas Wine	999
78	Carlos Helmet	999
79	Carlos Footwear	999
80	Carlos Hammer	999
81	Gladiator Earring	999
82	Gladiator Cup	999
83	Thorn Love Flower	999
84	Fluttering Maple Leaf	999
85	Second Hand Broken Boot	999
86	Freshwater Fish	999
87	Orange Wisdom Crystal	999
88	Gladiator Battle Card	999
89	White Mushroom Powder	999
90	Viper Tooth	999
92	Slave Bondage Deed	999
93	Orc Eyes	999
94	Prison Break Plan Book	999
95	Intoxicate Spice	999
96	Odyssey Jail Bulletin	999
97	Complete Star Diamond	999
98	Second Secret Signal Bulletin	999
99	Third Secret Signal Bulletin	999
100	Star Diamond	999
101	Material Girl Ring	999
102	Odyssey Wanted	999
103	Odyssey Topknot	999
104	Black Braid Landmine Detonator	999
105	Skeleton Bomb	999
106	Turtle Meat	999
107	Black Braid Pirate Flag	999
108	Admiral Red Beard Pirate Flag	999
109	First Secret Signal Bulletin	999
110	Garlic Raw Meat	999
111	Blink Skin	999
112	Ferret Muffler	999
113	Handsome Navy Cap	999
114	Gold Tiger Claw	999
115	Noctilucent Opal	999
116	Navy Shoulder Badge	999
117	Seven Sea V Secret Signal No.1	999
118	Crimson Wing	999
119	Agate Bell	999
