n_ID	s_SCENE_NAME	s_GM_SCENE_NAME
1	 Port Royal 	 Port Royal 
2	 Prison Exile Island 	 Prison Exile Island 
3	 Spice Paradise Island 	 Spice Paradise Island 
4	 Slave Market Island 	 Slave Market Island 
5	 Evil Port  	 Evil Port 
6	 Ocean Walled City 	 Ocean Walled City 
7	Voodoo Island	Voodoo Island
8	Silver Harbour	Silver Harbour
9	Death City Sea	Death City Sea
10	Deep Sea Temple floor 1	Deep Sea Temple ชั้นที่ 1
11	Deep Sea Temple floor 2	Deep Sea Temple ชั้นที่ 2
12	Drake empty Walled	Drake empty Walled
13		
14	Hell Volcanic Island	Hell Volcanic Island
15	Lost Eden	Lost Eden
16	Sunset Deserted	Sunset Deserted
17	Ship in the Sea	เรือในทะเล 1(17)
18	Ship in the Sea	เรือในทะเล 2-รูปแบบ 1(18)
19	Ship in the Sea	เรือในทะเล 2-รูปแบบ 2(19)
20	Ship in the Sea	เรือในทะเล 2-รูปแบบ 3(20)
21	Ship in the Sea	เรือในทะเล 3-รูปแบบ 1(21)
22	Ship in the Sea	เรือในทะเล 3-รูปแบบ 2(22)
23	Ship in the Sea	เรือในทะเล 3-รูปแบบ 3(23)
24	Ship in the Sky	เรือบนฟ้า 1 (24)
25	Ship in the Sky	เรือบนฟ้า 2 -รูปแบบ 1(25)
26	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 1(26)
27	Ship in the Sky	เรือบนฟ้า 2-รูปแบบ 2(27)
28	Ship in the Sky	เรือบนฟ้า 2-รูปแบบ 3(28)
29	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 2(29)
30	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 3(30)
31	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 1(31)
32	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 2(32)
33	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 3(33)
34	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 4(34)
35	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 5(35)
36	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 6(36)
37	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 7(37)
38	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 8(38)
39	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 9(39)
40	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 10(40)
41	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 11(41)
42	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 12(42)
43	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 13(43)
44	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 14(44)
45	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 15(45)
46	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 16(46)
47	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 17(47)
48	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 1(48)
49	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 2(49)
50	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 3(50)
51	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 4(51)
52	Mystery Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 5(52)
53	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 6(53)
54	Sea Desert Island	เกาะขนาดกลาง-รูปแบบ 1(54)
55	Sea Desert Island	เกาะขนาดกลาง-รูปแบบ 2(55)
56	Sea Desert Island	เกาะขนาดกลาง-รูปแบบ 3(56)
57	Sea Desert Island	เกาะขนาดกลาง-รูปแบบ 4(57)
58	Sea Desert Island	เกาะขนาดกลาง-รูปแบบ 5(58)
59	Floating Island	เกาะร้างขนาดกลาง-รูปแบบ 1(59)
60	Mystery Floating Island	เกาะร้างขนาดกลาง-รูปแบบ 2(60)
61	Floating Island	เกาะร้างขนาดกลาง-รูปแบบ 3(61)
62	Ship in the Sea	เรือในทะเล 2-รูปแบบ 1_เปลี่ยนรูป(62)
63	Ship in the Sea	เรือในทะเล 2-รูปแบบ 2_เปลี่ยนรูป(63)
64	Ship in the Sea	เรือในทะเล 2-รูปแบบ 3_เปลี่ยนรูป(64)
65	Ship in the Sea	เรือในทะเล 3-รูปแบบ 1_เปลี่ยนรูป(65)
66	Ship in the Sea	เรือในทะเล 3-รูปแบบ 2_เปลี่ยนรูป(66)
67	Ship in the Sea	เรือในทะเล 3-รูปแบบ 3_เปลี่ยนรูป(67)
68	Ship in the Sky	เรือบนฟ้า 2-รูปแบบ 1_เปลี่ยนรูป(68)
69	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 1_เปลี่ยนรูป(69)
70	Ship in the Sky	เรือบนฟ้า 2-รูปแบบ 2_เปลี่ยนรูป(70)
71	Ship in the Sky	เรือบนฟ้า 2-รูปแบบ 3_เปลี่ยนรูป(71)
72	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 2_เปลี่ยนรูป(72)
73	Ship in the Sky	เรือบนฟ้า 3-รูปแบบ 3_เปลี่ยนรูป(73)
74	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 2_เปลี่ยนรูป(74)
75	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 3_เปลี่ยนรูป(75)
76	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 4_เปลี่ยนรูป(76)
77	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 5_เปลี่ยนรูป(77)
78	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 6_เปลี่ยนรูป(78)
79	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 7_เปลี่ยนรูป(79)
80	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 8_เปลี่ยนรูป(80)
81	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 9_เปลี่ยนรูป(81)
82	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 10_เปลี่ยนรูป(82)
83	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 11_เปลี่ยนรูป(83)
84	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 12_เปลี่ยนรูป(84)
85	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 13_เปลี่ยนรูป(85)
86	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 14_เปลี่ยนรูป(86)
87	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 15_เปลี่ยนรูป(87)
88	Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 16_เปลี่ยนรูป(88)
89	Mystery Sea Desert Island	เกาะขนาดเล็ก-รูปแบบ 17_เปลี่ยนรูป(89)
90	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 1_เปลี่ยนรูป(90)
91	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 2_เปลี่ยนรูป(91)
92	Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 3_เปลี่ยนรูป(92)
93	Mystery Floating Island	เกาะร้างขนาดเล็ก-รูปแบบ 4_เปลี่ยนรูป(93)
