n_ID	s_UI_WORDS
1386	ตัวละครซ่อนตัว:
1387	ซ่อนตัว
1388	ปรากฏตัว
1389	ฉากบิน:
1390	X:
1391	Y:
1392	Z:
1393	NPC ที่บิน:
1394	ผู้เล่นที่บิน:
1395	เรียกผู้เล่น:
1396	สอบถามผู้เล่น BOT:
1397	เตะผู้เล่น:
1398	ข้อมูลล่าสุด:
1399	มอนสเตอร์ที่เกิด:
1400	สังหารมอน:
1401	แบนสนทนาโดยพื้นที่:
1402	แบนทั้งหมด
1403	แบนสนทนาผู้เล่นบางส่วน
1404	ปลดแบนสนทนา
1405	ระยะเวลาแบน
1406	นาที
1407	แบนสนทนาตัวละคร:
1408	แบนสนทนา
1409	ชื่อผู้เล่น:
1410	สาเหตุการแบน
1411	นาที (0 คือถาวร)
1412	ใส่คำสั่ง:
1413	ปฏิบัติ
1439	ฟังก์ชั่นพื้นฐาน
1440	ฟังก์ชั่นเพิ่มระดับ
1671	เปลี่ยนค่าย
1891	ฟังก์ชั่นกิจกรรม
1892	ไอเทมดรอป
1893	พื้นที่ดรอป
1894	BUFF ฉาก
1895	แชทอิสระ
1896	กิจกรรมกอบกู้
