namespace	method	call_count	file_count	arity_min	arity_max
Guild	AddMeritExp	6	6	1	1
Guild	CheckMeritExp	2	2	1	1
Guild	CheckPlayerGuildJob	7	7	1	1
Guild	GetGuildLevel	15	12	0	0
Guild	GetPVPFaction	4	4	0	0
Guild	GiveDailySalary	1	1	0	0
Guild	OpenGuildStorage	1	1	0	0
Guild	SetPVPFaction	1	1	1	1
Instance	AddBonusPoint	2	2	0	1
Instance	AddBonusReward	1	1	0	0
Instance	AddKeyEvent	15	13	1	1
Instance	CallScoreCount	12	12	0	0
Instance	GetInstanceID	14	7	0	0
Instance	GetInstanceId	1	1	0	0
Instance	GetLastingTime	7	7	0	0
Instance	RemoveKeyEvent	2	2	1	1
Instance	SetLastingTime	1	1	1	1
Mob	AddBuff	411	239	2	2
Mob	CallMob	15	15	2	2
Mob	CheckApproachTarget	8	8	0	0
Mob	CheckMobAlive	1	1	1	1
Mob	CheckMobPosition	6	2	5	5
Mob	CheckMobalive	6	6	1	1
Mob	CheckMobbuff	3	3	2	2
Mob	EndMove	15	8	0	1
Mob	ShowAnimation	716	295	1	1
Mob	StartMove	8	8	1	1
Party	CastSkillAt	3	3	1	1
Party	CheckPartyItem	2	2	2	2
Party	CheckSoulmate	1	1	0	0
Party	EnterInstance	5	5	1	1
Party	GetNum	2	2	0	0
Party	Love	2	2	1	1
Party	PartySoul	1	1	0	0
Party	PlayMovie	2	2	1	1
Party	RemovePartyItem	2	2	2	2
Party	ShowMessage	1	1	1	1
Party	SignUpArena	2	2	0	0
Player	AddAndEquip	48	11	2	2
Player	AddBuff	32	17	2	2
Player	AddCash	6	6	1	1
Player	AddExp	2	2	1	1
Player	AddHP	1	1	1	1
Player	AddItem	1430	272	2	2
Player	AddPpClass	2	2	1	1
Player	AddST	1	1	1	1
Player	AddSkillPoint	2	2	1	1
Player	Addmoralized	21	12	1	1
Player	AppraiseCollectPiece	1	1	0	0
Player	AppraiseItem	1	1	0	0
Player	BoatHealth	1	1	1	1
Player	BookBattleField	1	1	1	1
Player	CameraFocus	16	11	1	1
Player	CastSkillAt	69	46	1	1
