# VENDORED MIRROR -- do not hand-edit.
# regenerate: python3 tools/pf_regen_lua_quest_rewards.py
# source: pf_bridge/gamedata/tables/QUESTDATA_TH__QUEST.tsv cross-read against pf_bridge/gamedata/lua
# source_sha256: cc9927286def2bda166c320a2dddd16f5457eb4579ce5207a3d76758707527bd
# source_rows: 67
# pulled: 2026-09-07
# body_sha256: dccf7bee529ab6302e7c69beaf93ceff7159cc40ad66c8447e3b06d9216f28bc
# one row per member column of a take/give transaction group; group is the Lua entry point that performs both sides, call_site is the corpus line that proves the membership.
script	group	side	column	api_name	call_site
Q_BOAT_HEALTH	Accept_Run	take	n_VARI_2	Player.AddCash	Quest/q_boat_health.lua:21
Q_BOAT_HEALTH	Accept_Run	give	-	Player.BoatHealth	Quest/q_boat_health.lua:20
Q_CLASS	Report_Run	take	n_VARI_4	Player.AddCash	Quest/q_class.lua:60
Q_CLASS	Report_Run	give	-	Player.AddPpClass	Quest/q_class.lua:59
Q_CLASS	Report_Run	give	-	Quest.AddCriteriaCash	Quest/q_class.lua:63
Q_CLASS	Report_Run	give	-	Quest.AddCriteriaExp	Quest/q_class.lua:61
Q_CLASS	Report_Run	give	-	Quest.AddCriteriaSkillPoint	Quest/q_class.lua:62
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE1	Quest.RewardItemSelect	Quest/q_class.lua:76
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE2	Quest.RewardItemSelect	Quest/q_class.lua:78
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE3	Quest.RewardItemSelect	Quest/q_class.lua:80
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE4	Quest.RewardItemSelect	Quest/q_class.lua:82
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE5	Quest.RewardItemSelect	Quest/q_class.lua:84
Q_CLASS	Report_Run	give	n_REWARD_CHOOSE6	Quest.RewardItemSelect	Quest/q_class.lua:86
Q_CLASS	Report_Run	give	n_REWARD_ITEM1	Player.AddItem	Quest/q_class.lua:64
Q_CLASS	Report_Run	give	n_REWARD_ITEM2	Player.AddItem	Quest/q_class.lua:66
Q_CLASS	Report_Run	give	n_REWARD_ITEM3	Player.AddItem	Quest/q_class.lua:68
Q_CLASS	Report_Run	give	n_REWARD_ITEM4	Player.AddItem	Quest/q_class.lua:70
