# VENDORED MIRROR -- do not hand-edit.
# regenerate: python3 tools/pf_regen_lua_quest_criteria.py
# source: pf_bridge/gamedata/tables/CONSTDATA_TH__STANDARD_QUEST.tsv
# source_sha256: a345cce1c2d021ba57876b7e7ec67d441852da3906fa1b80e0bb534173f19c36
# source_rows: 255
# pulled: 2026-09-07
# body_sha256: 3d60c94600e24aa19fcdcb2421491a163ad008c40ac04845d264f897282abe83
# base reward per level; the amount is this times the quest row's multiplier.
level	cash	exp	skill_point
1	2	90	45
2	4	120	60
3	6	150	75
4	8	180	90
5	10	210	105
6	12	240	120
7	14	270	135
8	16	300	150
9	18	330	165
10	20	375	187
11	22	490	245
12	24	542	271
13	26	595	297
14	28	647	323
15	30	700	350
16	32	880	440
17	34	960	480
18	36	1040	520
19	38	1120	560
20	40	1200	600
21	42	4320	2160
22	44	4590	2295
23	46	4860	2430
24	48	5130	2565
25	50	5400	2700
26	52	6300	3150
27	54	6675	3337
28	56	7050	3525
29	58	7425	3712
30	60	10400	5200
31	62	10900	5450
32	64	11400	5700
33	66	11900	5950
34	68	12400	6200
35	70	12900	6450
36	72	13400	6700
37	74	14000	7000
38	76	14600	7300
39	78	15200	7600
40	80	15800	7900
41	82	15812	8200
42	84	15824	8550
43	86	15836	11125
44	88	15848	11562
45	90	15860	12000
46	92	15872	12437
47	94	15884	12937
48	96	15896	13437
49	98	15908	13937
50	100	15920	14437
51	102	15932	14937
52	104	15944	15500
53	106	15956	16062
54	108	15960	16625
55	110	16500	17187
56	112	17040	17750
57	114	17640	18375
58	116	18240	22800
59	118	18840	23550
60	120	19440	24300
61	122	20040	25050
62	124	20820	26025
63	126	21600	27000
64	128	22440	28050
65	130	23280	29100
66	132	24180	30225
67	134	25140	31425
68	136	26100	32625
69	138	27120	33900
70	140	28200	35250
71	142	29280	36600
72	144	30420	38025
73	146	31620	39525
74	148	32880	41100
75	150	34140	42675
76	152	35460	44325
77	154	36840	46050
78	156	38280	47850
79	158	39780	49725
80	160	41340	51675
81	162	42900	53625
82	164	44520	55650
83	166	46200	57750
84	168	47940	59925
85	170	49740	62175
86	172	51600	64500
87	174	53520	66900
88	176	55500	69375
89	178	57600	72000
90	180	59760	74700
91	182	63013	77475
92	184	66464	80400
93	186	70056	83400
94	188	73856	86550
95	190	77805	89775
96	192	81972	93150
97	194	86363	96675
98	196	90916	100275
99	198	95703	104025
100	200	100520	107700
101	202	105577	111525
102	204	110880	134750
103	206	116435	139562
104	208	122248	144550
105	210	128325	149712
106	212	134672	155050
107	214	141295	160562
108	216	148278	166337
109	218	155551	172287
110	220	163120	203900
111	222	170748	210800
112	224	178678	217900
113	226	186999	225300
114	228	195636	232900
115	230	204680	240800
116	232	214054	248900
117	234	223851	257300
118	236	234080	266000
119	238	244750	275000
120	240	255870	284300
121	242	267449	293900
122	244	279496	303800
123	246	292020	314000
124	248	305030	324500
125	250	318535	335300
126	252	332544	346400
127	254	347066	357800
128	256	362110	369500
129	258	377685	381500
130	260	393800	393800
131	262	406400	406400
132	264	419400	419400
133	266	432800	432800
134	268	446600	446600
135	270	460800	460800
136	272	475400	475400
137	274	490400	490400
138	276	505800	505800
139	278	521600	521600
140	280	537800	537800
141	282	554500	554500
142	284	571700	571700
143	286	589400	589400
144	288	607600	607600
145	290	626300	626300
146	292	645500	645500
147	294	665200	665200
148	296	685500	685500
149	298	706400	706400
150	300	727900	727900
151	302	750000	750000
152	304	772700	772700
153	306	796000	796000
154	308	820000	820000
155	310	844700	844700
156	312	870100	870100
157	314	896200	896200
158	316	923000	923000
159	318	950600	950600
160	320	979000	979000
161	322	1008200	1008200
162	324	1038200	1038200
163	326	1069000	1069000
164	328	1100700	1100700
165	330	1133300	1133300
166	332	1166800	1166800
167	334	1201200	1201200
168	336	1236600	1236600
169	338	1273000	1273000
170	340	1310400	1310400
171	342	1348800	1348800
172	344	1388300	1388300
173	346	1428900	1428900
174	348	1470600	1470600
175	350	1513500	1513500
176	352	1557600	1557600
177	354	1602900	1602900
178	356	1649500	1649500
179	358	1697400	1697400
180	360	1746600	1746600
181	362	1797200	1797200
182	364	1849200	1849200
183	366	1902700	1902700
184	368	1957700	1957700
185	370	2014200	2014200
186	372	2072300	2072300
187	374	2132000	2132000
188	376	2193400	2193400
189	378	2256500	2256500
190	380	2321400	2321400
191	382	2388100	2388100
192	384	2456700	2456700
193	386	2527200	2527200
194	388	2599700	2599700
195	390	2674200	2674200
196	392	2750800	2750800
197	394	2829500	2829500
198	396	2910400	2910400
199	398	2993600	2993600
200	400	3079100	3079100
201	402	3167000	3167000
202	404	3257400	3257400
203	406	3350300	3350300
204	408	3445800	3445800
205	410	3544000	3544000
206	412	3644900	3644900
207	414	3748600	3748600
208	416	3855200	3855200
209	418	3964800	3964800
210	420	4077500	4077500
211	422	4193400	4193400
212	424	4312500	4312500
213	426	4434900	4434900
214	428	4560700	4560700
215	430	4690000	4690000
216	432	4822900	4822900
217	434	4959500	4959500
218	436	5099900	5099900
219	438	5244200	5244200
220	440	5392500	5392500
221	442	5544900	5544900
222	444	5701600	5701600
223	446	5862700	5862700
224	448	6028300	6028300
225	450	6198500	6198500
226	452	6373500	6373500
227	454	6553400	6553400
228	456	6738300	6738300
229	458	6928400	6928400
230	460	7123800	7123800
231	462	7324700	7324700
232	464	7531200	7531200
233	466	7743500	7743500
234	468	7961700	7961700
235	470	8186000	8186000
236	472	8416600	8416600
237	474	8653600	8653600
238	476	8897200	8897200
239	478	9147600	9147600
240	480	9405000	9405000
241	482	9669600	9669600
242	484	9941600	9941600
243	486	10221200	10221200
244	488	10508600	10508600
245	490	10804000	10804000
246	492	11107700	11107700
247	494	11419900	11419900
248	496	11740800	11740800
249	498	12070700	12070700
250	500	12409800	12409800
251	502	12758400	12758400
252	504	13116700	13116700
253	506	13485000	13485000
254	508	13863600	13863600
255	510	14252800	14252800
