# VENDORED MIRROR -- do not hand-edit.
# regenerate: python3 tools/pf_regen_lua_quest_criteria.py
# source: pf_bridge/gamedata/tables/QUESTDATA_TH__QUEST.tsv
# source_sha256: cc9927286def2bda166c320a2dddd16f5457eb4579ce5207a3d76758707527bd
# source_rows: 1544
# pulled: 2026-09-07
# body_sha256: 6d8af2d56b6f0c6d187a93ef9bb32809cce1c1dc2d7cfa4fdfce7d156340a897
# criteria_level is QUESTDATA n_LEVEL_EXP; multipliers are f_CASH/f_EXP/f_SP copied verbatim (float32-widened in the source).
quest_id	criteria_level	cash_multiplier	exp_multiplier	sp_multiplier
12	20	0.0	0.0	0.0
13	30	0.0	0.0	0.0
24	15	1.0	1.5	1.0
25	15	1.0	1.5	1.0
26	15	1.0	1.5	1.0
27	18	1.0	1.5	1.0
28	18	1.0	1.5	1.0
29	20	0.0	0.0	0.0
30	18	1.0	1.5	1.0
31	18	1.0	1.5	1.0
32	18	1.0	1.5	1.0
33	20	1.0	1.5	1.0
34	20	1.0	1.5	1.0
35	33	1.0	1.0	1.0
36	33	1.0	1.0	1.0
37	33	1.0	1.0	1.0
38	40	1.0	1.0	1.0
39	45	1.0	0.5	1.0
40	40	1.0	1.0	1.0
41	40	1.0	1.0	1.0
42	40	1.0	1.0	1.0
43	40	1.0	1.0	1.0
44	30	1.0	1.5	1.0
45	30	1.0	1.5	1.0
46	30	1.0	1.5	1.0
47	35	1.0	1.5	1.0
48	35	1.0	1.5	1.0
49	45	1.0	1.0	1.0
50	45	1.0	1.0	1.0
51	20	1.0	1.5	1.0
52	20	1.0	1.5	1.0
53	20	1.0	1.5	1.0
54	20	1.0	1.5	1.0
55	20	1.0	1.5	1.0
56	20	1.0	1.5	1.0
57	21	0.0	0.0	0.0
58	20	1.0	1.5	1.0
59	20	1.0	1.5	1.0
60	23	1.0	1.5	1.0
62	23	1.0	1.5	1.0
64	23	1.0	1.5	1.0
65	23	1.0	1.5	1.0
66	23	1.0	1.5	1.0
67	20	1.0	1.5	1.0
68	25	1.0	1.5	1.0
69	25	1.0	1.5	1.0
70	25	1.0	1.5	1.0
71	30	1.0	1.5	1.0
72	30	1.0	1.5	1.0
73	30	1.0	1.5	1.0
74	30	1.0	1.5	1.0
75	30	1.0	1.5	1.0
76	30	0.0	0.0	0.0
77	30	1.0	1.5	1.0
78	30	1.0	1.5	1.0
79	40	1.0	1.0	1.0
80	30	1.0	1.5	1.0
89	23	1.0	1.5	1.0
91	23	1.0	1.5	1.0
92	30	1.0	1.0	1.0
93	45	1.0	0.5	1.0
94	30	1.0	1.0	1.0
95	30	1.0	1.0	1.0
99	35	1.0	1.5	1.0
100	30	0.0	0.0	0.0
101	35	1.0	1.5	1.0
102	35	1.0	1.5	1.0
103	35	1.0	1.5	1.0
104	35	1.0	1.5	1.0
105	35	1.0	1.5	1.0
106	33	1.0	1.5	1.0
107	33	1.0	1.5	1.0
108	33	1.0	1.5	1.0
109	33	1.0	1.5	1.0
110	33	1.0	1.5	1.0
111	33	1.0	1.5	1.0
112	25	1.0	1.0	1.0
113	25	1.0	1.0	1.0
114	25	1.0	1.0	1.0
115	25	0.0	0.0	0.0
116	25	1.0	1.0	1.0
117	25	1.0	1.0	1.0
118	25	1.0	1.0	1.0
119	25	1.0	1.0	1.0
120	25	1.0	1.0	1.0
121	35	1.0	1.5	1.0
122	40	1.0	1.5	1.0
123	40	1.0	1.5	1.0
124	40	1.0	1.5	1.0
125	40	1.0	1.5	1.0
126	40	1.0	1.5	1.0
127	43	1.0	1.5	1.0
128	45	1.0	1.5	1.0
129	45	1.0	1.5	1.0
130	50	1.0	1.5	1.0
131	50	1.0	1.0	1.0
132	50	1.0	1.5	1.0
134	43	1.0	1.5	1.0
135	43	1.0	1.5	1.0
136	43	1.0	1.5	1.0
137	43	1.0	1.5	1.0
138	40	1.0	2.0	1.0
139	40	1.0	2.0	1.0
140	40	1.0	2.0	1.0
141	40	1.0	2.0	1.0
142	40	1.0	2.0	1.0
143	40	1.0	2.0	1.0
144	40	1.0	2.0	1.0
145	42	1.0	1.5	1.0
146	42	1.0	1.5	1.0
147	43	1.0	1.5	1.0
148	43	1.0	1.5	1.0
149	44	1.0	1.5	1.0
150	44	1.0	1.5	1.0
151	45	1.0	1.5	1.0
152	45	1.0	1.5	1.0
153	45	1.0	1.5	1.0
154	45	1.0	1.5	1.0
155	45	1.0	1.5	1.0
156	33	1.0	1.5	1.0
157	26	1.0	1.0	1.0
158	40	1.0	1.0	1.0
159	31	0.0	0.0	0.0
160	40	1.0	1.0	1.0
161	45	1.0	1.0	1.0
162	45	1.0	1.0	1.0
163	45	1.0	1.0	1.0
164	45	1.0	1.0	1.0
165	45	1.0	1.0	1.0
