# VENDORED MIRROR -- do not hand-edit.
# regenerate: python3 tools/pf_regen_lua_quest_vars.py
# source: pf_bridge/gamedata/tables/QUESTDATA_TH__QUEST.tsv
# source_sha256: cc9927286def2bda166c320a2dddd16f5457eb4579ce5207a3d76758707527bd
# source_rows: 1544
# pulled: 2026-09-07
# body_sha256: de4a7d4a4a9aa99cde032572d74980167588deb507387152006cbb3843843706
# n_VARI_1..n_VARI_20 verbatim, as the unsigned 32-bit decimals the source stores; a value at or above 2147483648 is a negative held in two's complement and is decoded ONLY for the columns quest_var_signedness.tsv names.
quest_id	var1	var2	var3	var4	var5	var6	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16	var17	var18	var19	var20
12	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	102	103	104	2056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1071	0	0	7	1	0	20	8	0	0	0	0	175	804	0	0	630	803	0	0
25	721	9001	8552	572	1	91	0	0	0	0	8502	0	0	0	804	176	570	0	803	175
26	25	2608007	1	10	2401006	1	11	29	0	0	0	0	637	0	0	628	0	0	0	629
27	26	0	0	0	0	0	0	0	0	0	0	0	0	168	0	630	0	170	0	0
28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	632
29	28	994	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	28	0	0	2	884	2	3	8072	0	0	0	0	0	552	0	169	0	0	0	0
31	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630
32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	0
33	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	38	2500004	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	8506	8540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0	42	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	41	2500005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	41	2500006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	80	2500007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	44	2500008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	2500009	1	2500017	1	2500068	1	2500010	3	0	0	0	0	0	0	0	0	0	0	0
