n_ID	n_AREA	n_EVENT	n_WEIGHT	n_LBOUND_LEVEL	n_UBOUND_LEVEL	n_VARI_1	n_VARI_2	n_VARI_3	s_OUTFIT	s_RANDOMEFFECT	n_QUEST_ID	n_ITEM_ID	n_ELITEMOBGROUP	n_CLINE_TYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	126	2	100	30	40	7	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	126	2	100	30	40	3	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	126	2	100	40	50	9	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	126	2	100	40	50	12	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	126	2	100	40	50	13	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	126	2	100	50	60	2	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	126	2	100	50	60	4	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	126	2	100	50	60	6	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	126	2	50	50	60	85	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	126	2	100	60	70	5	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	126	2	100	60	70	8	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	126	2	100	60	70	10	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	126	2	100	60	70	14	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	126	2	100	60	70	16	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	126	2	50	60	70	86	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	126	2	100	70	999	11	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	126	2	100	70	999	15	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	126	2	50	70	999	87	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
